track,sample,hours,lat,lon,pressure
31,1.0,222,19.98,-114.12,994.2
31,1.0,228,20.68,-114.22,996.6
31,1.0,234,21.2,-114.69,992.7
31,1.0,240,21.78,-115.19,994.8
31,1.0,246,22.23,-115.76,990.5
31,1.0,252,22.93,-116.17,993.3
31,1.0,258,23.36,-117.0,996.4
31,1.0,264,24.31,-118.18,998.8
31,1.0,270,24.56,-118.76,1000.3
31,1.0,276,25.65,-119.27,1001.7
31,1.0,282,26.23,-120.17,1005.4
31,1.0,288,26.96,-121.24,1004.0
31,1.0,294,27.84,-122.03,1005.7
31,1.0,300,28.35,-123.6,1005.8
31,1.0,306,29.14,-124.4,1004.3
31,1.0,312,30.18,-125.5,1005.8
40,1.0,234,23.95,168.68,1011.3
40,1.0,240,24.26,168.18,1011.7
40,1.0,246,24.86,168.27,1009.2
40,1.0,252,25.38,167.76,1006.3
40,1.0,258,25.96,167.42,1007.4
40,1.0,264,26.29,167.31,1005.2
40,1.0,270,26.63,167.36,1005.5
40,1.0,276,27.37,167.58,1003.9
40,1.0,282,28.0,167.47,1003.2
40,1.0,288,28.27,167.75,1000.0
40,1.0,294,29.32,167.86,998.2
40,1.0,300,29.97,168.24,998.1
40,1.0,306,30.77,168.57,995.4
40,1.0,312,31.59,168.87,993.4
AL912025,1.0,0,11.7,-36.0,1011.0
EP112025,1.0,0,14.3,-137.3,958.0
EP112025,1.0,6,14.69,-138.3,970.6
EP112025,1.0,12,15.08,-138.95,973.2
EP112025,1.0,18,15.52,-140.11,969.9
EP112025,1.0,24,15.88,-141.22,972.5
EP112025,1.0,30,16.36,-142.34,973.1
EP112025,1.0,36,17.06,-143.48,971.0
EP112025,1.0,42,17.47,-144.71,979.0
EP112025,1.0,48,18.2,-145.79,978.2
EP112025,1.0,54,18.93,-146.97,981.8
EP112025,1.0,60,19.74,-148.01,990.3
EP112025,1.0,66,20.28,-148.94,991.2
EP112025,1.0,72,21.25,-150.1,994.6
EP112025,1.0,78,21.75,-150.89,997.8
EP112025,1.0,84,22.33,-152.12,1001.5
EP112025,1.0,90,22.62,-153.67,1004.5
EP112025,1.0,96,23.25,-155.04,1006.2
EP112025,1.0,102,24.28,-156.82,1007.7
EP112025,1.0,108,25.01,-158.15,1007.6
EP112025,1.0,114,25.34,-160.1,1010.4
EP112025,1.0,120,25.71,-161.58,1010.5
EP112025,1.0,126,25.8,-163.19,1012.3
EP112025,1.0,132,25.99,-164.44,1014.1
EP112025,1.0,138,26.17,-166.06,1014.9
EP112025,1.0,144,26.72,-167.39,1012.9
EP112025,1.0,150,27.13,-168.51,1011.1
EP112025,1.0,156,27.32,-169.92,1011.9
EP112025,1.0,162,27.94,-171.29,1010.6
EP112025,1.0,168,28.36,-172.75,1011.7
EP112025,1.0,174,28.76,-174.27,1007.4
EP112025,1.0,180,29.23,-175.8,1007.0
EP112025,1.0,186,29.81,-176.72,1007.5
EP112025,1.0,192,29.82,-177.94,1003.8
EP112025,1.0,198,30.39,-178.65,1003.4
EP112025,1.0,204,30.82,-178.81,1001.3
EP112025,1.0,210,31.38,-179.2,1004.6
EP112025,1.0,216,31.66,-179.1,1001.9
EP112025,1.0,222,32.26,-178.74,1001.2
EP112025,1.0,228,32.89,-178.0,1000.0
EP112025,1.0,234,33.53,-177.01,1001.2
EP112025,1.0,240,34.28,-175.53,1002.3
EP112025,1.0,246,34.82,-173.71,1002.7
EP112025,1.0,252,35.88,-171.33,1001.1
EP112025,1.0,258,37.44,-168.5,1001.6
1,2.0,6,17.82,116.92,1002.4
1,2.0,12,18.19,116.41,1002.3
1,2.0,18,18.6,115.52,1000.1
1,2.0,24,18.47,114.81,1000.7
1,2.0,30,19.01,114.28,998.4
1,2.0,36,19.5,113.57,996.9
1,2.0,42,20.22,113.38,989.2
1,2.0,48,20.68,112.99,988.0
1,2.0,54,21.61,112.8,989.9
1,2.0,60,22.7,112.13,988.6
1,2.0,66,23.59,111.46,998.2
1,2.0,72,24.03,111.33,998.5
1,2.0,78,24.17,111.12,1001.7
1,2.0,84,24.84,111.27,1002.6
1,2.0,90,25.35,110.73,1005.8
1,2.0,96,24.59,109.92,1005.5
1,2.0,102,24.51,109.56,1005.5
1,2.0,108,24.82,109.67,1004.4
16,2.0,114,12.78,-113.47,1006.6
16,2.0,120,13.26,-114.27,1007.7
16,2.0,126,13.59,-114.62,1002.9
16,2.0,132,14.62,-114.65,1005.2
16,2.0,138,15.03,-114.9,1001.4
16,2.0,144,15.69,-115.36,1003.0
16,2.0,150,16.12,-115.81,996.6
16,2.0,156,16.44,-116.12,998.1
16,2.0,162,16.97,-117.05,999.4
16,2.0,168,17.06,-117.31,1002.2
16,2.0,174,17.62,-117.2,1003.2
16,2.0,180,17.69,-117.69,1002.4
16,2.0,186,17.94,-118.32,998.1
16,2.0,192,18.06,-118.93,994.0
16,2.0,198,18.03,-119.26,991.3
16,2.0,204,18.07,-119.61,993.6
16,2.0,210,17.94,-120.43,987.8
16,2.0,216,17.38,-121.14,986.7
16,2.0,222,16.9,-121.55,996.6
16,2.0,228,16.44,-121.95,988.3
16,2.0,234,15.76,-122.06,998.4
16,2.0,240,14.93,-122.25,992.2
16,2.0,246,14.48,-121.81,995.8
16,2.0,252,14.15,-120.76,996.8
16,2.0,258,14.04,-120.32,994.0
16,2.0,264,14.11,-119.27,998.6
16,2.0,270,14.31,-118.08,995.9
16,2.0,276,15.11,-116.34,998.8
16,2.0,282,16.14,-114.38,1000.8
16,2.0,288,22.3,-112.61,967.4
16,2.0,294,25.75,-111.48,967.7
16,2.0,300,27.84,-111.31,981.0
16,2.0,306,30.14,-111.01,994.9
16,2.0,312,31.21,-111.05,999.5
18,2.0,132,-9.17,71.22,1007.5
18,2.0,138,-8.59,70.38,1003.8
18,2.0,144,-8.57,70.18,1005.8
18,2.0,150,-8.67,70.67,1005.6
18,2.0,156,-8.16,69.91,1004.3
18,2.0,162,-8.69,69.67,1003.4
18,2.0,168,-8.79,68.74,1003.9
18,2.0,174,-9.04,68.29,1002.5
18,2.0,180,-8.74,67.4,1006.6
18,2.0,186,-8.88,66.87,1004.2
18,2.0,192,-9.13,66.13,1004.2
18,2.0,198,-9.72,65.43,1004.0
22,2.0,144,14.92,-31.82,1009.0
22,2.0,150,14.19,-33.21,1008.1
22,2.0,156,14.21,-34.03,1009.4
22,2.0,162,13.83,-35.41,1006.1
22,2.0,168,13.96,-36.63,1005.7
22,2.0,174,13.75,-37.13,1007.4
22,2.0,180,13.46,-37.73,1004.7
22,2.0,186,13.11,-38.54,1004.7
22,2.0,192,13.04,-39.33,1006.5
22,2.0,198,12.79,-39.86,1005.4
22,2.0,204,12.81,-40.47,1004.0
22,2.0,210,13.27,-41.0,1003.9
22,2.0,216,13.46,-41.79,1002.6
22,2.0,222,13.53,-42.62,999.4
22,2.0,228,13.81,-43.64,994.4
22,2.0,234,13.97,-44.23,994.8
22,2.0,240,14.09,-45.48,988.1
22,2.0,246,14.15,-46.42,986.0
22,2.0,252,14.42,-47.52,982.8
22,2.0,258,14.92,-48.63,967.7
22,2.0,264,15.45,-49.87,963.9
22,2.0,270,16.12,-50.9,962.2
22,2.0,276,17.01,-51.94,964.5
22,2.0,282,17.91,-53.03,960.0
22,2.0,288,18.81,-54.37,944.6
22,2.0,294,19.61,-56.03,973.1
22,2.0,300,20.6,-57.27,962.0
22,2.0,306,21.86,-58.8,975.4
22,2.0,312,23.17,-60.71,965.0
29,2.0,198,14.21,-106.49,1006.4
29,2.0,204,15.19,-107.42,1004.6
29,2.0,210,15.1,-107.94,1005.0
29,2.0,216,15.52,-108.73,1000.6
29,2.0,222,15.71,-108.98,999.9
29,2.0,228,16.2,-109.71,999.9
29,2.0,234,16.35,-110.23,996.9
29,2.0,240,16.9,-110.68,992.1
29,2.0,246,17.54,-110.68,992.0
29,2.0,252,18.35,-110.9,987.1
29,2.0,258,19.01,-111.11,987.2
29,2.0,264,19.62,-111.23,979.7
29,2.0,270,20.61,-111.16,975.9
29,2.0,276,21.89,-111.13,976.8
29,2.0,282,23.13,-111.3,972.1
29,2.0,288,25.0,-111.32,967.8
29,2.0,294,25.75,-111.48,967.7
29,2.0,300,27.84,-111.31,981.0
29,2.0,306,30.14,-111.01,994.9
29,2.0,312,31.21,-111.05,999.5
33,2.0,216,20.11,147.52,1008.4
33,2.0,222,20.93,146.59,1010.1
33,2.0,228,21.04,145.2,1009.0
33,2.0,234,21.91,143.67,1006.1
33,2.0,240,23.03,142.97,1006.2
33,2.0,246,23.25,141.92,1004.0
33,2.0,252,23.84,140.61,1006.4
33,2.0,258,24.67,139.42,1006.7
33,2.0,264,25.42,137.93,1001.4
33,2.0,270,25.97,136.6,1002.5
33,2.0,276,26.42,136.02,998.2
33,2.0,282,27.01,134.92,998.5
33,2.0,288,27.23,134.83,997.7
33,2.0,294,27.35,134.37,993.8
33,2.0,300,27.43,134.32,990.4
33,2.0,306,27.51,134.62,989.2
33,2.0,312,27.58,134.84,976.5
AL912025,2.0,0,11.7,-36.0,1011.0
EP112025,2.0,0,14.3,-137.3,958.0
EP112025,2.0,6,14.61,-138.41,969.5
EP112025,2.0,12,15.01,-139.45,962.8
EP112025,2.0,18,15.36,-140.25,970.6
EP112025,2.0,24,15.71,-141.44,966.2
EP112025,2.0,30,16.28,-142.28,962.0
EP112025,2.0,36,16.71,-143.43,964.8
EP112025,2.0,42,17.34,-144.71,969.2
EP112025,2.0,48,17.95,-146.0,969.9
EP112025,2.0,54,18.83,-147.08,967.4
EP112025,2.0,60,19.65,-148.09,978.4
EP112025,2.0,66,20.42,-148.72,986.5
EP112025,2.0,72,21.14,-149.8,994.4
EP112025,2.0,78,21.76,-150.79,992.2
EP112025,2.0,84,22.95,-151.78,997.8
EP112025,2.0,90,23.58,-153.1,1001.7
EP112025,2.0,96,23.96,-154.02,1006.1
EP112025,2.0,102,24.82,-155.21,1007.9
EP112025,2.0,108,25.37,-156.54,1008.6
EP112025,2.0,114,25.61,-157.7,1010.3
EP112025,2.0,120,25.88,-159.62,1012.0
EP112025,2.0,126,27.52,-160.33,1010.1
EP112025,2.0,132,27.67,-161.34,1012.1
EP112025,2.0,138,28.56,-162.77,1009.1
EP112025,2.0,144,29.34,-164.0,1009.9
EP112025,2.0,150,29.86,-165.26,1008.6
EP112025,2.0,156,30.39,-165.96,1007.9
EP112025,2.0,162,31.02,-166.79,1007.9
EP112025,2.0,168,31.69,-167.17,1007.9
EP112025,2.0,174,32.38,-167.09,1007.7
EP112025,2.0,180,33.37,-166.4,1010.7
EP112025,2.0,186,34.41,-165.76,1003.6
EP112025,2.0,192,35.15,-163.86,1002.1
EP112025,2.0,198,35.91,-161.56,996.9
EP112025,2.0,204,36.83,-158.85,995.8
EP112025,2.0,210,38.36,-155.14,998.3
EP112025,2.0,216,40.77,-150.42,994.9
EP112025,2.0,222,44.0,-145.8,997.3
EP112025,2.0,228,48.77,-142.52,991.2
0,3.0,6,17.74,116.87,1003.7
0,3.0,12,18.44,116.32,1002.2
0,3.0,18,18.33,115.44,1001.8
0,3.0,24,18.63,114.67,998.3
0,3.0,30,18.94,114.32,997.5
0,3.0,36,19.55,113.82,994.7
0,3.0,42,20.39,113.18,992.2
0,3.0,48,21.13,112.73,984.1
0,3.0,54,21.98,111.98,988.1
0,3.0,60,22.83,111.35,991.4
0,3.0,66,23.67,110.37,994.9
0,3.0,72,23.89,109.58,1001.6
0,3.0,78,24.55,109.56,1001.4
0,3.0,84,24.7,109.08,1003.9
20,3.0,150,16.75,-105.43,1006.7
20,3.0,156,16.58,-106.34,1010.2
20,3.0,162,15.8,-107.26,1007.7
20,3.0,168,15.83,-107.98,1007.8
20,3.0,174,16.15,-108.43,1005.8
20,3.0,180,16.54,-109.29,1003.9
20,3.0,186,16.47,-110.0,998.1
20,3.0,192,17.22,-110.7,999.0
20,3.0,198,17.51,-111.98,995.3
20,3.0,204,17.78,-112.63,993.9
20,3.0,210,18.04,-113.37,988.4
20,3.0,216,18.09,-113.78,990.2
20,3.0,222,18.35,-114.18,980.0
20,3.0,228,18.33,-114.21,984.7
20,3.0,234,18.53,-114.61,978.2
20,3.0,240,18.77,-114.75,976.4
20,3.0,246,19.39,-115.16,970.9
20,3.0,252,20.09,-115.53,972.7
20,3.0,258,20.88,-115.83,973.6
20,3.0,264,21.78,-116.03,978.9
20,3.0,270,22.76,-116.64,980.6
20,3.0,276,23.86,-117.46,986.0
20,3.0,282,24.68,-118.08,987.6
20,3.0,288,25.79,-118.95,992.8
20,3.0,294,26.77,-120.07,992.7
20,3.0,300,27.83,-120.66,994.8
20,3.0,306,28.62,-121.72,997.6
20,3.0,312,29.51,-122.55,998.3
21,3.0,156,14.66,-26.64,1008.3
21,3.0,162,14.8,-27.33,1006.3
21,3.0,168,15.0,-28.4,1008.1
21,3.0,174,14.62,-29.28,1006.5
21,3.0,180,14.35,-30.5,1004.5
21,3.0,186,14.3,-32.11,1004.1
21,3.0,192,14.66,-32.92,997.6
21,3.0,198,14.5,-34.04,999.3
21,3.0,204,14.99,-34.9,997.0
21,3.0,210,15.17,-36.19,1002.2
21,3.0,216,15.74,-37.53,1001.3
21,3.0,222,16.22,-38.48,1000.7
21,3.0,228,17.03,-39.45,1000.9
21,3.0,234,17.77,-40.33,997.5
21,3.0,240,18.59,-41.57,996.5
21,3.0,246,19.6,-41.94,998.8
21,3.0,252,20.93,-42.52,994.2
21,3.0,258,22.33,-43.18,996.3
21,3.0,264,23.28,-44.22,995.0
21,3.0,270,24.44,-45.82,998.7
21,3.0,276,26.03,-46.75,995.2
21,3.0,282,27.59,-48.24,999.5
21,3.0,288,29.16,-49.38,994.8
21,3.0,294,30.44,-50.96,992.0
21,3.0,300,31.4,-51.82,993.3
21,3.0,306,32.31,-52.32,989.0
21,3.0,312,33.12,-51.97,981.6
39,3.0,240,11.06,-102.84,1003.7
39,3.0,246,11.86,-103.65,1003.7
39,3.0,252,11.96,-103.83,1003.8
39,3.0,258,12.27,-104.7,1000.5
39,3.0,264,13.24,-105.06,1000.4
39,3.0,270,13.14,-105.65,1000.4
39,3.0,276,13.56,-106.84,998.2
39,3.0,282,14.14,-107.07,996.4
39,3.0,288,14.45,-107.87,996.7
39,3.0,294,15.41,-108.74,1001.1
39,3.0,300,16.41,-109.66,1001.2
39,3.0,306,16.56,-110.97,996.4
39,3.0,312,17.16,-111.93,998.8
41,3.0,258,12.15,-147.92,1004.4
