init_time,track_id,sample,valid_time,lead_time,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2025-09-05 18:00:00,48,36.0,2025-09-17 06:00:00,11 days 12:00:00,276,21.49,141.23,941.5,117.2,32.681968688964844,137.7119903564453,115.33892822265624,93.9323959350586,120.18952941894533,64.4951171875,54.33275985717773,45.870697021484375,58.03196334838867,37.41599655151367,32.52375793457031,27.804208755493164,33.620144
2025-09-05 18:00:00,48,36.0,2025-09-17 12:00:00,11 days 18:00:00,282,22.01,140.65,948.5,108.0,48.51845932006836,147.5658721923828,126.85782623291016,109.01560974121094,141.1219940185547,84.10585021972656,71.3009033203125,60.77469253540039,77.04882049560547,46.41143035888672,40.89397430419922,35.65530014038086,42.547733
2025-09-05 18:00:00,48,36.0,2025-09-17 18:00:00,12 days 00:00:00,288,22.17,140.05,948.0,106.6,41.20587158203125,193.1840362548828,163.33648681640625,132.8697509765625,169.53607177734375,94.35623168945312,81.90701293945312,68.29889678955078,82.2836685180664,48.279598236083984,42.7436408996582,36.0249137878418,42.48532
2025-09-05 18:00:00,48,36.0,2025-09-18 00:00:00,12 days 06:00:00,294,22.41,139.26,945.1,112.2,16.979637145996094,212.8146514892578,178.63726806640625,146.0715789794922,192.6763458251953,102.67100524902344,87.4231185913086,72.4732437133789,90.93009948730467,52.41907501220703,45.977664947509766,38.5267219543457,46.37272
2025-09-05 18:00:00,48,36.0,2025-09-18 06:00:00,12 days 12:00:00,300,22.82,138.61,942.8,113.6,28.16050720214844,197.86553955078125,171.8220977783203,143.451171875,181.7220458984375,101.6377410888672,88.48009490966797,74.62215423583984,90.88645935058594,56.39543151855469,50.6136360168457,43.09636688232422,50.3352
2025-09-05 18:00:00,48,36.0,2025-09-18 12:00:00,12 days 18:00:00,306,23.05,137.49,952.0,101.3,22.265047073364254,235.61477661132807,202.9174041748047,173.944580078125,215.18116760253903,122.37430572509766,109.42768096923828,94.22669219970705,109.67576599121094,70.4638900756836,64.34375,54.39226913452149,62.053936
2025-09-05 18:00:00,48,36.0,2025-09-18 18:00:00,13 days 00:00:00,312,23.38,136.5,937.1,120.1,18.87026596069336,249.75881958007807,213.448486328125,179.13241577148438,228.5108642578125,129.87986755371094,113.8771514892578,96.05266571044922,115.30429077148438,73.05513763427734,65.7953109741211,55.86492156982422,64.79957
2025-09-05 18:00:00,49,36.0,2025-09-16 12:00:00,10 days 18:00:00,258,12.07,-26.85,1006.7,27.8,89.23314666748047,5.2266926765441895,1.7460027933120728,2.137852430343628,3.705223321914673,0.0,0.0,0.0,0.0,0.0024223667569458,0.0,0.0,0.0
2025-09-05 18:00:00,49,36.0,2025-09-16 18:00:00,11 days 00:00:00,264,11.9,-28.59,1007.7,26.4,102.69039916992188,1.293400764465332,0.0,1.007499098777771,1.861222505569458,0.0,0.0,0.0177766997367143,0.0,0.0,0.0,0.0131411030888557,0.0
2025-09-05 18:00:00,49,36.0,2025-09-17 00:00:00,11 days 06:00:00,270,11.85,-29.96,1007.5,27.9,50.32115173339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0583914667367935,0.0,0.0,0.0031847986392676,0.0035921956878155,0.0
2025-09-05 18:00:00,49,36.0,2025-09-17 06:00:00,11 days 12:00:00,276,12.59,-31.31,1010.0,26.5,121.49523162841795,0.3934350311756134,0.0,0.0,0.0,0.0,0.1993135958909988,0.2494300007820129,0.2026616930961609,0.0484805852174758,0.0387002229690551,0.0774642452597618,0.07040202
